class, accuracy, precision, recall, f1-score
0, 0.9600, 1.0000, 0.9600, 0.9796
1, 0.9800, 0.9515, 0.9800, 0.9655
2, 1.0000, 1.0000, 1.0000, 1.0000
3, 1.0000, 1.0000, 1.0000, 1.0000
4, 0.9600, 1.0000, 0.9600, 0.9796
5, 1.0000, 1.0000, 1.0000, 1.0000
6, 1.0000, 1.0000, 1.0000, 1.0000
7, 0.9800, 1.0000, 0.9800, 0.9899
8, 1.0000, 1.0000, 1.0000, 1.0000
9, 1.0000, 1.0000, 1.0000, 1.0000
10, 1.0000, 0.9524, 1.0000, 0.9756
11, 1.0000, 1.0000, 1.0000, 1.0000
12, 0.9500, 1.0000, 0.9500, 0.9744
13, 1.0000, 1.0000, 1.0000, 1.0000
14, 0.9900, 1.0000, 0.9900, 0.9950
15, 1.0000, 1.0000, 1.0000, 1.0000
16, 1.0000, 0.9709, 1.0000, 0.9852
17, 1.0000, 1.0000, 1.0000, 1.0000
18, 1.0000, 1.0000, 1.0000, 1.0000
19, 1.0000, 1.0000, 1.0000, 1.0000
20, 1.0000, 1.0000, 1.0000, 1.0000
21, 1.0000, 1.0000, 1.0000, 1.0000
22, 1.0000, 1.0000, 1.0000, 1.0000
23, 1.0000, 0.9524, 1.0000, 0.9756
24, 1.0000, 1.0000, 1.0000, 1.0000
25, 1.0000, 1.0000, 1.0000, 1.0000
average, 0.9931, 0.9933, 0.9931, 1.0000
